sample,collection,genus,species,IS1,IS110,IS1182,IS1380,IS1595,IS1634,IS200/IS605,IS21,IS256,IS3,IS30,IS4,IS481,IS5,IS6,IS607,IS630,IS66,IS701,IS91,IS982,ISAS1,ISKRA4,ISL3,ISNCY,new
GCF_004101725.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,31,0,1,0,0,0,0,0,2,0,0,0,0,0,9
SRX11171069,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,0,0,22,1,1,0,0,0,0,0,2,0,0,0,0,0,9
SRX5772841,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_022461025.2,ncbi_complete,Acinetobacter,baumannii,1,0,0,0,0,0,0,2,2,2,9,19,0,0,10,0,0,9,0,1,0,0,0,0,0,2
SRX22343813,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,28,0,1,0,0,0,1,0,1,0,0,0,0,0,7
GCF_032822615.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_019076685.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,9,14,0,3,0,55,4,0,4,2,0,0,2,0,0,0,3,0
GCF_025402975.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,23,0,1,0,0,0,1,0,1,0,0,0,0,0,5
GCA_033711495.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_038442425.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,15,0,10,1,2,3,0,0,0,2,3,0,0,0,0,0,2
GCF_003522785.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,3,19,0,1,0,0,0,0,2,2,0,0,0,1,0,10
SRX14003160,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,2,3,0,24,0,4,6,0,0,0,0,1,0,0,0,0,0,2
ERX2806063,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,1,0,9,0,6,5,0,0,21,0,2,0,0,0,0,0,0
GCF_018831465.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_016350065.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,6,1,1,0,18,1,8,0,0,0,1,0,1,0,0,0,0,0,5
GCF_024426665.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,0,15,0,7,1,6,6,0,0,0,1,3,0,0,0,0,0,2
GCA_021387885.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,2,0,18,0,3,0,0,0,1,0,1,0,0,0,0,0,10
GCF_016350105.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,6,1,1,0,20,1,16,0,0,0,0,0,1,0,0,0,0,0,5
GCF_005280715.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,2,2,19,0,4,0,0,0,1,0,5,0,0,0,0,0,10
SRX17608723,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,5
GCF_033190015.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_004797155.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,3,0,1,0,8,0,0,0,0,2,1,0,0,0,0,0,4
SRX19323151,ncbi_nanopore,Acinetobacter,baumannii,7,0,0,0,1,0,0,3,10,60,60,5,1,71,7,0,7,5,0,0,2,0,0,2,2,2
SRX22142156,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,11,6,0,2,0,3,7,0,0,1,1,3,0,0,0,0,0,2
GCF_023361235.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,22,0,0,8,0,0,0,0,1,0,0,0,0,0,3
SRX22142144,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,11,6,0,3,0,3,7,0,0,3,1,3,0,0,0,0,0,2
GCF_037039675.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,4,2,1,0,28,0,10,6,0,1,2,0,2,0,0,0,0,0,1
GCF_022468565.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,1,3,15,31,0,0,6,0,0,0,0,1,0,0,0,0,0,2
SRX13859227,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,21,1,4,0,7,2,0,4,6,0,0,0,0,0,0,1,0
SRX14003148,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,12,0,0,3,2,1,2,21,0,2,0,0,0,0,0,1,0,0,0,0,0,6
GCF_023517235.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_017742855.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,12,4,18,0,7,4,0,0,0,0,4,0,0,0,0,0,2
GCF_017096425.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,0,21,0,3,0,0,0,0,0,2,0,0,0,0,0,9
SRX18797676,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,2,0,22,0,2,8,0,0,1,0,1,0,0,0,0,0,0
GCF_029223565.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_000939415.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,0,23,0,3,0,0,0,1,0,2,0,0,0,0,0,11
SRX14003129,ncbi_nanopore,Acinetobacter,baumannii,1,0,0,0,0,0,0,1,0,0,7,7,0,9,7,0,0,9,0,0,0,0,0,1,0,2
GCF_022468195.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,28,0,0,5,0,0,0,0,1,0,0,0,0,0,3
SRX22142029,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,0,23,0,3,0,0,0,1,0,2,0,0,0,0,0,7
GCF_017096405.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,0,0,24,0,1,6,0,0,1,0,1,0,0,0,0,0,0
SRX22142122,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,1,0,22,0,0,0,0,0,1,0,2,0,0,0,0,0,7
SRX11180176,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,24,0,0,5,0,0,0,0,1,0,0,0,0,0,3
SRX11171058,ncbi_nanopore,Acinetobacter,baumannii,3,0,0,0,0,0,0,2,2,3,0,26,0,2,0,0,0,1,0,1,0,0,0,0,0,5
GCF_003948535.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,1,1,0,15,0,1,0,0,0,1,0,2,0,0,0,0,0,6
GCF_008244885.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,3,1,0,32,0,1,0,0,0,0,0,2,0,0,0,0,0,9
GCF_023517695.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,0,0,22,1,0,6,0,0,0,0,1,0,0,0,0,0,3
SRX17469772,ncbi_nanopore,Acinetobacter,baumannii,2,0,0,0,0,0,0,5,0,16,15,2,0,24,4,0,0,9,7,3,19,0,0,1,0,4
GCF_001674505.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,7,26,0,15,0,0,0,7,0,1,0,0,0,0,0,3
GCF_017098245.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,27,0,1,0,0,0,1,0,1,0,0,0,0,0,4
GCF_000828935.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,5,2,9,0,7,3,0,0,0,0,3,0,0,0,0,0,2
GCF_014705885.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,1,5,0,19,0,2,0,0,0,0,0,1,0,0,0,0,0,13
GCF_008931365.1,ncbi_complete,Acinetobacter,baumannii,6,0,2,0,1,0,0,2,6,30,18,0,0,72,2,0,9,2,0,1,1,0,0,1,5,9
GCF_005518095.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,16,0,20,1,4,7,0,0,0,2,5,0,0,0,0,0,4
GCF_030585225.1,ncbi_complete,Acinetobacter,baumannii,1,0,0,0,16,0,0,1,1,4,0,25,0,2,7,0,0,1,1,2,0,0,0,0,0,7
GCF_023362135.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,0,1,29,0,1,7,0,0,1,0,2,0,0,0,0,0,5
SRX17608735,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,5
GCF_012935025.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,32,0,1,0,0,0,1,0,1,0,0,0,0,0,5
GCF_000069245.1,ncbi_complete,Acinetobacter,baumannii,1,0,0,0,0,0,0,2,1,5,0,24,0,4,0,0,0,0,0,3,0,0,0,3,0,10
GCF_015870765.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,5,2,3,5,25,0,2,8,0,0,1,0,1,0,0,0,0,0,0
SRX22142065,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,1,18,0,1,0,0,0,1,0,2,0,0,0,0,0,9
GCF_000189735.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,0,0,2,0,1,3,7,0,0,0,0,2,0,0,0,0,0,3
GCF_025258785.1,ncbi_complete,Acinetobacter,baumannii,2,0,0,0,0,0,0,5,0,17,15,2,0,23,4,0,0,10,5,3,19,0,0,1,0,4
SRX14003125,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,0,0,6,10,0,16,6,0,0,11,0,0,0,0,0,1,0,0
GCF_029582015.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_029909475.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_001261895.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,6,2,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0
GCF_025916215.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,30,1,1,0,0,0,1,0,1,0,0,0,0,0,5
GCF_002082785.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,14,0,26,0,4,6,0,0,0,1,8,0,0,0,0,0,5
GCF_034126645.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,2,0,25,0,3,0,0,0,1,0,2,0,0,0,0,0,9
SRX6578633,ncbi_nanopore,Acinetobacter,baumannii,1,0,0,0,0,0,0,2,0,5,11,8,0,13,5,0,0,0,0,0,0,0,0,2,0,3
SRX12261526,ncbi_nanopore,Acinetobacter,baumannii,0,2,0,0,1,0,0,18,8,57,26,30,0,125,4,0,6,27,5,0,29,0,0,0,3,0
GCF_038442565.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,15,0,11,1,3,3,0,0,0,2,3,0,0,0,0,0,2
GCF_012934925.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,2,2,2,27,0,5,2,0,0,1,0,3,0,0,0,0,0,4
GCF_023361155.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,0,18,0,3,0,0,0,1,0,2,0,0,0,0,0,13
GCF_033190095.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_017096385.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,0,20,0,2,4,0,0,0,0,2,0,0,0,0,0,0
GCF_027558855.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SRX7735086,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,2,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCF_028201495.1,ncbi_complete,Acinetobacter,baumannii,1,0,0,0,0,0,0,1,0,1,0,0,0,6,2,0,0,1,0,0,0,0,0,2,0,5
GCF_017724155.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,10,4,20,0,7,4,0,0,0,0,4,0,0,0,0,0,2
SRX8128130,ncbi_nanopore,Acinetobacter,baumannii,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0
GCF_013394285.1,ncbi_complete,Acinetobacter,baumannii,0,1,0,0,0,0,0,5,0,12,0,0,0,5,3,0,0,8,0,3,0,0,0,0,0,4
GCF_022759565.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,5,0,21,0,3,0,0,0,1,0,2,0,0,0,0,0,12
GCF_002803025.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX14003127,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,20,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ERX10201337,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,2,19,0,13,5,0,0,2,0,2,0,0,0,0,0,2
SRX18716687,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,28,0,1,4,0,0,1,0,1,0,0,0,0,0,3
GCF_003010655.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,20,0,5,0,0,0,1,0,2,0,0,0,0,0,4
GCF_030585405.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,2,16,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ERX10201346,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,4,17,0,8,5,0,0,2,0,3,0,0,0,0,0,2
GCF_005280415.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,14,3,16,23,1,2,4,0,0,0,0,1,0,0,0,0,0,0
GCF_003812385.1,ncbi_complete,Acinetobacter,baumannii,0,1,0,0,0,0,0,2,3,28,0,0,1,14,2,0,0,0,0,0,0,0,0,0,6,0
GCF_003522665.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,5,0,5,12,2,0,16,3,0,0,0,1,1,13,0,0,1,0,0
GCF_025854255.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,8,14,10,0,7,1,0,0,0,0,1,0,0,0,0,0,0
GCF_023981045.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,8,15,14,1,1,0,0,0,1,0,4,0,0,0,0,0,4
GCF_003264255.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,22,0,1,0,0,0,1,0,1,0,0,0,0,0,2
GCF_026409205.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,6,2,0,17,0,6,6,0,0,1,0,2,0,0,0,0,0,1
GCF_002082805.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,8,2,0,4,0,2,4,0,0,0,0,1,0,0,0,0,0,0
GCF_018135585.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,3,10,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0
GCF_022369355.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3
GCF_025853975.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,5
GCF_038995905.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,20,0,1,0,0,0,1,0,2,0,0,0,0,0,6
